scenario,strategy,seed,total_visits,gini,entropy,hotspot_pct,economic_impact,profile_consistency
budget_backpacker,interest_based,123,24640,0.513288014069264,3.739384353433055,0.0441558441558441,37202.1,0.0
budget_backpacker,sustainability,42,27755,0.5575266718709342,3.658881853841362,0.0172581516843811,54674.6,0.4
budget_backpacker,sustainability,7,27628,0.5513931116580603,3.6668558310457486,0.0167583610829593,55685.50000000001,0.8
budget_backpacker,sustainability,99,27742,0.5500815049784122,3.667888886250651,0.0173383317713214,54578.5,0.5
budget_backpacker,sustainability,123,27748,0.553330169942178,3.6625486442465487,0.0188482052760559,54565.19999999999,0.0
family_with_kids,popularity,42,29821,0.7835068687613874,3.0123287513474666,0.2374501190436269,214093.5,0.4
family_with_kids,popularity,7,29819,0.7849707121857429,3.004387613613351,0.2321674100405781,211884.4,0.4
family_with_kids,popularity,99,29838,0.7864319175399006,2.9979456685592005,0.2377840337824251,214380.5,0.2
family_with_kids,popularity,123,29839,0.78279032660463,3.0140374555016707,0.2415630550621669,219386.9,0.4
family_with_kids,interest_based,42,25260,0.6812483504882555,3.397913355546038,0.0729216152019002,114591.0,1.0
family_with_kids,interest_based,7,25204,0.6937765610396939,3.3591401345419367,0.077130614188224,112994.0,0.4
family_with_kids,interest_based,99,25400,0.6901968503937008,3.3690836816463605,0.0737401574803149,112216.1,0.4
family_with_kids,interest_based,123,25067,0.6912834714077384,3.37277562238328,0.0756372920572864,113691.2,0.6
family_with_kids,sustainability,42,28319,0.6316278627227107,3.545493984249352,0.0432571771602104,107139.1,0.4
family_with_kids,sustainability,7,28373,0.6409286802398211,3.5177388396701423,0.0442674373524125,105711.1,0.4
family_with_kids,sustainability,99,28287,0.6439869315704505,3.511226882332244,0.0435182239191147,104766.3,0.4
family_with_kids,sustainability,123,28213,0.6343455735535628,3.536756327672397,0.0429234749937971,106676.5,0.6
sustainability_mission,popularity,42,29863,0.8216889536289798,2.815785950328104,0.4442621303954726,378779.6,0.6
sustainability_mission,popularity,7,29861,0.8232965518011229,2.804691266761271,0.4488128327919359,382871.3,1.0
sustainability_mission,popularity,99,29823,0.8190988871378169,2.8308609974420813,0.437380545216779,372745.4,0.2
sustainability_mission,popularity,123,29858,0.8228206101472898,2.8070967934976627,0.4473842856185946,381619.6,0.0
sustainability_mission,interest_based,42,26135,0.3394973747422571,4.069636510822509,0.0935909699636502,165223.40000000002,1.0
sustainability_mission,interest_based,7,26136,0.3396624068972554,4.071762036033116,0.0979491888582797,168152.9,1.0
sustainability_mission,interest_based,99,26113,0.3315350591659327,4.078667809892241,0.0981120514686171,168828.4,1.0
sustainability_mission,interest_based,123,26176,0.3399679095354523,4.070740751058705,0.096538814180929,170916.8,0.0
sustainability_mission,sustainability,42,28716,0.3924796087353546,3.9864473080772895,0.039838417606909,136770.4,0.8
sustainability_mission,sustainability,7,28714,0.391513431311091,3.98607030512855,0.0403984119244967,139116.3,1.0
sustainability_mission,sustainability,99,28704,0.3882559921962096,3.9918665259862913,0.0411789297658862,140416.7,1.0
sustainability_mission,sustainability,123,28761,0.3860295964056264,3.9935504496001024,0.0396717777545982,140253.3,0.0
baseline,popularity,42,29886,0.817562292266167,2.846957019527068,0.4232081911262799,361557.0,0.3077666666666667
baseline,popularity,7,29887,0.8184034864656874,2.83909758156591,0.4281125572991601,367043.1,0.3099777777777778
baseline,popularity,99,29865,0.8183934185315401,2.839609521707602,0.4318098108153357,369044.2,0.3125444444444444
baseline,popularity,123,29887,0.8157890089708272,2.856190874337795,0.4210860909425503,362456.1,0.3067166666666666
baseline,interest_based,42,27900,0.5263201911589008,3.796346986214927,0.1355555555555555,260010.1,0.9128333333333334
baseline,interest_based,7,28067,0.5328276980083372,3.776228060051293,0.1366729611287276,273192.2,0.9188444444444444
baseline,interest_based,99,28135,0.5381479177773829,3.7736023630978655,0.1352052603518748,262697.1,0.9124777777777778
baseline,interest_based,123,28004,0.5508439270580393,3.745079572282574,0.1413369518640194,274230.9,0.9057166666666668
baseline,sustainability,42,28719,0.497347381330981,3.846553428036722,0.0645565653400188,178287.49999999997,0.8693000000000001
baseline,sustainability,7,28678,0.5011623311713973,3.8403585829013305,0.0638817211799986,180938.1,0.8799111111111111
baseline,sustainability,99,28652,0.5011333317821521,3.840056138410376,0.0640443948066452,177376.7,0.8714777777777778
baseline,sustainability,123,28672,0.5058128720238095,3.833917800810931,0.0654994419642857,181847.1,0.8626499999999999
overtourism_peak,popularity,42,111333,0.8582913671398218,2.613806420428488,0.44232168359785506,1528104.8,0.30601249999999997
overtourism_peak,popularity,7,111334,0.856792274696958,2.6235403643652053,0.43996443135071045,1516969.0000000002,0.3094104166666667
overtourism_peak,popularity,99,111286,0.855809705523506,2.6307812908487938,0.4348974713800478,1507724.8,0.31151875
overtourism_peak,popularity,123,111323,0.8566901668518135,2.625643424281408,0.43782506759609424,1512686.7,0.30911666666666665
overtourism_peak,interest_based,42,103000,0.5703443905070119,3.7021553632013156,0.1335728155339806,1042930.6,0.9149875
overtourism_peak,interest_based,7,102677,0.574416887694204,3.69118453920242,0.1364180877898653,1054420.2999999998,0.9106104166666666
overtourism_peak,interest_based,99,102771,0.5721446225102412,3.6950727393788987,0.13590409745940002,1057834.2000000002,0.9144187500000001
overtourism_peak,interest_based,123,103180,0.5706308823846137,3.7017223089778883,0.13424113200232604,1050055.7000000002,0.9183916666666666
overtourism_peak,sustainability,42,105098,0.5785232724589325,3.681357925582221,0.04922072732116691,625978.6,0.8960874999999999
overtourism_peak,sustainability,7,104773,0.5815579342430248,3.6744927072945077,0.05010832943601882,625935.6,0.8930854166666666
overtourism_peak,sustainability,99,104785,0.5794122091266244,3.681070313127971,0.05008350431836618,636039.7000000001,0.8961437499999999
overtourism_peak,sustainability,123,104736,0.5768325970906746,3.686538150157565,0.04923808432630614,623790.9,0.8966416666666667
