Strategy,Gini ↓,Hotspot share ↓,Visit entropy ↑,Total visits,Profile consistency ↑
Popularity-based,0.822 ± 0.002,0.444 ± 0.005,2.815 ± 0.012,29851 ± 19,0.450 ± 0.443
Interest-based,0.338 ± 0.004,0.097 ± 0.002,4.073 ± 0.004,26140 ± 26,0.750 ± 0.500
Sustainability-aware,0.390 ± 0.003,0.040 ± 0.001,3.989 ± 0.004,28724 ± 25,0.700 ± 0.476
